trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
98,False,"{'a': 0.65, 'e': 0.1408584209210443}",30,22,-22.995637373375978,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 1}",1
99,False,"{'a': 0.65, 'e': 0.13806923731089213}",25,8,16.912730107480897,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
100,False,"{'a': 0.65, 'e': 0.135335283236612}",30,16,20.830179133505297,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.65, 'e': 0.13265546508012105}",25,16,-9.46873503090614,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 0}",1
102,False,"{'a': 0.65, 'e': 0.13002871087842524}",25,14,-43.982967683240076,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
103,False,"{'a': 0.65, 'e': 0.12745396989482008}",20,2,27.720839969285446,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
104,False,"{'a': 0.65, 'e': 0.12493021219858176}",25,11,-47.20253440508343,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 1}",1
105,False,"{'a': 0.65, 'e': 0.12245642825298125}",20,8,24.211397849990796,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.65, 'e': 0.12003162851145609}",25,3,26.963917082210124,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.65, 'e': 0.11765484302177856}",35,12,32.93387103282065,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.65, 'e': 0.11532512103806189}",25,0,-21.032753017244975,"{0: 20, 1: 3, 2: 1, 3: 1, 4: 0}",0
109,False,"{'a': 0.65, 'e': 0.11304153064044924}",20,2,21.7308109017065,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.65, 'e': 0.11080315836233326}",30,7,21.375086361095665,"{0: 21, 1: 2, 2: 0, 3: 0, 4: 0}",1
